# beta_f    chi(1,1)   d_chi11	   chi(2,2)   d_chi22

1.50000000 1.33422317 0.00013152 1.32795034 0.00806051
1.70000000 1.20977876 0.00013169 1.20046171 0.00472314
1.90000000 1.09594010 0.00014481 1.07738461 0.00310830
2.00000000 1.04094572 0.00014612 1.01352241 0.00264673
2.10000000 0.98689469 0.00015848 0.95313795 0.00199221
2.20000000 0.93130665 0.00019739 0.87539570 0.00163382
2.25000000 0.90293973 0.00020991 0.83491042 0.00157492
2.30000000 0.87247328 0.00024271 0.78698787 0.00148480
2.32500000 0.85638503 0.00030863 0.75619218 0.00164087
2.35000000 0.83893020 0.00036926 0.72454141 0.00166080
2.37500000 0.81881649 0.00059450 0.67374152 0.00324756
2.40000000 0.75221165 0.00304835 0.41340937 0.01124292
2.42500000 0.71517404 0.00038475 0.32251444 0.00148844
2.45000000 0.69805156 0.00021971 0.29536839 0.00085458
2.50000000 0.67082792 0.00015260 0.26174649 0.00062133
2.55000000 0.64750280 0.00013622 0.23780816 0.00050373
2.60000000 0.62592809 0.00011406 0.22002425 0.00042449
2.70000000 0.58824152 0.00010588 0.19169975 0.00037694
2.80000000 0.55499969 0.00008378 0.17063411 0.00031017
3.00000000 0.49843242 0.00007220 0.14129706 0.00028471
