#  beta_f       C	dC

1.50000000 0.02541109 0.00026904
1.70000000 0.03009432 0.00032188
1.90000000 0.03738750 0.00043877
2.00000000 0.04232503 0.00048334
2.10000000 0.04721376 0.00063943
2.20000000 0.05453850 0.00077522
2.25000000 0.05922775 0.00087264
2.30000000 0.06827440 0.00100885
2.32500000 0.07541773 0.00153763
2.35000000 0.08162890 0.00244224
2.37500000 0.12085236 0.01078651
2.40000000 0.45052406 0.04658207
2.42500000 0.09012501 0.00407360
2.45000000 0.07431564 0.00173788
2.50000000 0.06250313 0.00101284
2.55000000 0.05888865 0.00080871
2.60000000 0.05629775 0.00072862
2.70000000 0.05323387 0.00068218
2.80000000 0.05192065 0.00061465
3.00000000 0.05031948 0.00056138
