# beta_f    chi(1,1)   d_chi11	  chi(2,2)   d_chi22

1.00000000 1.40719505 0.00016824 1.41258239 0.00988092
1.20000000 1.22282646 0.00015929 1.20843018 0.00522331
1.40000000 1.05460209 0.00017284 1.03005632 0.00253999
1.50000000 0.96924388 0.00021810 0.93413641 0.00184181
1.55000000 0.92344698 0.00029177 0.87483245 0.00168790
1.58000000 0.89393798 0.00032887 0.83163764 0.00144869
1.60000000 0.87189474 0.00036529 0.79838906 0.00153520
1.62000000 0.84730301 0.00046433 0.76174080 0.00159860
1.65000000 0.62307937 0.00032012 0.24154033 0.00067848
1.70000000 0.57516812 0.00022015 0.19935152 0.00037783
1.80000000 0.50944404 0.00012978 0.15477292 0.00027069
2.00000000 0.42456193 0.00007874 0.11278718 0.00017189
